content_comment,decoded_content_comment
"mình dùng chai tím, cấp ẩm rất tốt, dịu nhẹ mát da, nhưng cũng ko thấy tác dụng gì rõ rệt, cho đến khi mình dùng bha obagi thì da bị tối màu (ko dùng toner j thêm), sau đó mình thay đổi dùng toner tím này rồi mới thoa bha obagi thì da căng bóng mướt mịn nhìn rất thích.","mình dùng chai tím, cấp ẩm rất tốt, dịu nhẹ mát da, nhưng cũng không thấy tác dụng gì rõ rệt, cho đến khi mình dùng bha obagi thì da bị tối màu (không dùng toner gì thêm), sau đó mình thay đổi dùng toner tím này rồi mới thoa bha obagi thì da căng bóng mướt mịn nhìn rất thích."
sp tốt .,sản phẩm tốt .
"đã nhận đc hàng. giá tốt, shipper dễ thương. chất lượng thì hi vọng cg sẽ tốt","đã nhận được hàng. giá tốt, shipper dễ thương. chất lượng thì hi vọng cũng sẽ tốt"
sp rất tốt sài rất là thích mịn da,sản phẩm rất tốt xài rất là thích mịn da
"đã sử dụng hết 1 chai. có mùi thơm nhẹ, mềm da, nhanh thấm.","đã sử dụng hết 1 chai. có mùi thơm nhẹ, mềm da, nhanh thấm."
chai tuy 180ml thôi nhunge dùng siêu lâu do chất em này hơi sệt mình dùng dòng này nên mùi thơm rất thích lành tính cấp ẩm tốt lắm giá quá hợp lí phải nói là chân ái luôn sẽ mua lại thiệc nhiều lần,chai tuy 180ml thôi nhunge dùng siêu lâu do chất em này hơi sệt mình dùng dòng này nên mùi thơm rất thích lành tính cấp ẩm tốt lắm giá quá hợp lí phải nói là chân ái luôn sẽ mua lại thiệc nhiều lần
hàng sài êm mà mau hết quá,hàng xài êm mà mau hết quá
"sử dụng đúng kiểu relax luôn. mát, thấm nhanh, cấp ẩm ổn","sử dụng đúng kiểu thoải mái luôn. mát, thấm nhanh, cấp ẩm ổn"
"toner cấp ẩm tốt, thấm nhanh ko nhờn rít, mùi dễ chịu, mình dùng chai thứ 2 rồi vẫn thích","toner cấp ẩm tốt, thấm nhanh không nhờn rít, mùi dễ chịu, mình dùng chai thứ 2 rồi vẫn thích"
"xài thích lắm nhe, cấp ẩm tốt, có hương liệu nhưng k kích ứng đâu, ngược lại mình thấy fresh lắm","xài thích lắm nhe, cấp ẩm tốt, có hương liệu nhưng không kích ứng đâu, ngược lại mình thấy fresh lắm"
"chai toner này dưỡng ẩm rất tốt, máu khô ,mau thấm","chai toner này dưỡng ẩm rất tốt, máu khô ,mau thấm"
"da mình rất nhạy cảm từ mặt tới body luôn, mình được bé chung phòng giới thiệu em này và sd thử, khá ok sẽ gắn bó lâu dài nè","da mình rất nhạy cảm từ mặt tới body luôn, mình được bé chung phòng giới thiệu em này và sử dụng thử, khá ok sẽ gắn bó lâu dài nè"
"cấp ẩm tốt, dùng đc lâu, rất thích klairs","cấp ẩm tốt, dùng được lâu, rất thích klairs"
dùng sau khi tdc hoá học quá là ẩm và ô cê. chân ái cuộc đời,dùng sau khi tdc hoá học quá là ẩm và ô cê. chân ái cuộc đời
toner này khỏi phải chê mình dùng lọ thứ 2 dưỡng ẩm tốt dùng được khá lâu. mua hasaki chính hãng giá rẻ hơn bên ngoài,toner này khỏi phải chê mình dùng lọ thứ 2 dưỡng ẩm tốt dùng được khá lâu. mua hasaki chính hãng giá rẻ hơn bên ngoài
"sp dùng cho da khô rất tốt. mình xài gần hết rồi mới đánh giá đây. da mình rất khô, trời lạnh là khô ráp, bong vảy, nứt ngứa luôn. dùng sp toner - serum - dưỡng ẩm của klair thấy ok quá trời. da dịu liền","sản phẩm dùng cho da khô rất tốt. mình xài gần hết rồi mới đánh giá đây. da mình rất khô, trời lạnh là khô ráp, bong vảy, nứt ngứa luôn. dùng sản phẩm toner - serum - dưỡng ẩm của klair thấy ok quá trời. da dịu liền"
mua tại cửa hàng 245k giá giảm. còn mua app lại có 229k,mua tại cửa hàng 245k giá giảm. còn mua app lại có 229k
sp nhẹ nhàng và phù hợp cho da nhạy cảm cấp ẩm khá tốt và không có mùi,sản phẩm nhẹ nhàng và phù hợp cho da nhạy cảm cấp ẩm khá tốt và không có mùi
sd rất tốt cho da nhạy cảm ạ,sử dụng rất tốt cho da nhạy cảm ạ
"thấm nhanh, không mùi công dụng khá bình thường so với số tiền bỏ ra thiết kế khó khăn trong việc sử dụng","thấm nhanh, không mùi công dụng khá bình thường so với số tiền bỏ ra thiết kế khó khăn trong việc sử dụng"
cấp ẩm tốt dịu nhẹ và đặt biệt là sài siêu lâu nha,cấp ẩm tốt dịu nhẹ và đặt biệt là xài siêu lâu nha
"mình da nhạy cảm mà dùng e này k hợp bị lên mụn , có mùi hơi khó chịu nữa","mình da nhạy cảm mà dùng e này không hợp bị lên mụn , có mùi hơi khó chịu nữa"
dịu nhẹ không mùi dễ thẩm thấu cấp ẩm cho da đang trị mụn,dịu nhẹ không mùi dễ thẩm thấu cấp ẩm cho da đang trị mụn
"da mình là da siêu nhạy cảm, dễ kích ứng. xài em này rất êm nha. trộm vía là em nó có cấp ẩm cho da, apply lên da xong thấy da mướt đc xíu","da mình là da siêu nhạy cảm, dễ kích ứng. xài em này rất êm nha. trộm vía là em nó có cấp ẩm cho da, apply lên da xong thấy da mướt được xíu"
"mình xài ngày 2 lần thấy da ẩm hơn và cải thiện nhiều , nên xài kèm serum , sáng nhớ rửa mặt để ko lên mụn","mình xài ngày 2 lần thấy da ẩm hơn và cải thiện nhiều , nên xài kèm serum , sáng nhớ rửa mặt để không lên mụn"
da mình nhạy cảm nhưng sd em này có cảm giác rát . có mùi cồn nhẹ .,da mình nhạy cảm nhưng sử dụng em này có cảm giác rát . có mùi cồn nhẹ .
"cấp ẩm tốt, dịu nhẹ cho da nhạy cảm, ko mùi nên rất thích","cấp ẩm tốt, dịu nhẹ cho da nhạy cảm, không mùi nên rất thích"
trước mình xài loại có hương liệu (chai đục) rất là thích. nay mình chuyển thử qua e này...ối dời ôi....bị mụn rất nhiều (bth mặt mình k có mụn ai cũng khen) mà giờ mọc tùm lum,trước mình xài loại có hương liệu (chai đục) rất là thích. nay mình chuyển thử qua e này...ối dời ôi....bị mụn rất nhiều (bình thường mặt mình không có mụn ai cũng khen) mà giờ mọc tùm lum
"thấm nhanh,cấp ẩm tốt, da nhạy cảm nên mua.","thấm nhanh,cấp ẩm tốt, da nhạy cảm nên mua."
em này dùng sau bước rửa mặt cực thích đã ẩm tonner không mùi dễ chịu trên da bao bì cứng cáp ❤️❤️❤️,em này dùng sau bước rửa mặt cực thích đã ẩm tonner không mùi dễ chịu trên da bao bì cứng cáp ❤️❤️❤️
da mình khá khô dùng em này thì ổn vừa đủ cấp ẩm thui,da mình khá khô dùng em này thì ổn vừa đủ cấp ẩm thui
thấy có tặng bông tẩy trang nma lúc giao hàng thì kh có,thấy có tặng bông tẩy trang nhưng lúc giao hàng thì kh có
ok,ok
sp tốt k bàn cãi j rồi..da mk đang khô nên tậu e này về liền,sản phẩm tốt không bàn cãi gì rồi..da mình đang khô nên tậu e này về liền
tốt,tốt
"mình mua xài được 4 lần, do ko hợp nên muốn pass lại 100k, zalo 0908128429","mình mua xài được 4 lần, do không hợp nên muốn pass lại 100k, zalo 0908128429"
k cần ns j nhìu,không cần nói gì nhìu
"toner có kết cấu đặc nên dùng rất tiết kiệm nhé, nên dùng tay apply trực tiếp để tiết kiệm nhân đôi nhé mọi người","toner có kết cấu đặc nên dùng rất tiết kiệm nhé, nên dùng tay apply trực tiếp để tiết kiệm nhân đôi nhé mọi người"
cảm nhận của mình khi sử dụng hai loại có hương liệu và cho da nhạy cảm. thì cấp ẩm tốt cho da hh thiên dầu như mình. còn việc tặng bông tẩy trang thì mình mua lúc hết quà và đc giảm 15k trong đơn hàng ạ,cảm nhận của mình khi sử dụng hai loại có hương liệu và cho da nhạy cảm. thì cấp ẩm tốt cho da hỗn hợp thiên dầu như mình. còn việc tặng bông tẩy trang thì mình mua lúc hết quà và được giảm 15k trong đơn hàng ạ
"cá nhân mình da hh thiên dầu nhạy cảm thì dùng loại này không thích bằng loại có hương liệu. chắc tuỳ thể trạng da. nhưng nói chung toner này lành tính, không bết/rít, tvia êm da.","cá nhân mình da hỗn hợp thiên dầu nhạy cảm thì dùng loại này không thích bằng loại có hương liệu. chắc tuỳ thể trạng da. nhưng nói chung toner này lành tính, không bết/rít, tvia êm da."
cũng đc,cũng được
"rất là oki nháaa ❤️ mình dùng em này trong routine dùng bha, chân ái đây ròi","rất là oki nháaa ❤️ mình dùng em này trong routine dùng bha, chân ái đây ròi"
"mình da khô siêu nhạy cảm, còn anh mình da hỗn hợp thiên khô đang treatment đều sd sản phẩm này thì chỉ biết lên đây cho 5 sao mới thỏa thôi ạ :"")))) hihi","mình da khô siêu nhạy cảm, còn anh mình da hỗn hợp thiên khô đang treatment đều sử dụng sản phẩm này thì chỉ biết lên đây cho 5 sao mới thỏa thôi ạ :"")))) hihi"
tốt,tốt
dùng rất thích luôn ạ. da mền mại và căng bóng hơn,dùng rất thích luôn ạ. da mền mại và căng bóng hơn
sản phẩm này qá ok . nên mua ạ sử dụng thích lắm,sản phẩm này qá ok . nên mua ạ sử dụng thích lắm
sảm phảm dùng thơm mùi dễ chịu,sảm phảm dùng thơm mùi dễ chịu
mình mới đặt hàng lúc sáng. nhưng lúc giao lại khong có combo tặng 2 bông tẩy trang vậy ạ?,mình mới đặt hàng lúc sáng. nhưng lúc giao lại khong có combo tặng 2 bông tẩy trang vậy ạ?
thấy có tặng bông tẩy trang nhưng khi giao hàng thì kh thấy đâu,thấy có tặng bông tẩy trang nhưng khi giao hàng thì kh thấy đâu
"toner vừa túi tiền, trộm vía xài ok, dịu nhẹ","toner vừa túi tiền, trộm vía xài ok, dịu nhẹ"
sản phẩm tốt,sản phẩm tốt
mình thấy để tặng thêm 2 cây bông tt mà lúc nhận hàng chỉ có 1 chai toner thôi còn bông tt thì không thấy đâu làm hụt hẫng xĩu,mình thấy để tặng thêm 2 cây bông tẩy trung mà lúc nhận hàng chỉ có 1 chai toner thôi còn bông tẩy trung thì không thấy đâu làm hụt hẫng xĩu
hàng xài cấp ẩm rất tốt đang xài thấy rất hiệu quả,hàng xài cấp ẩm rất tốt đang xài thấy rất hiệu quả
ghi tặng bông tẩy trang mà nhận hàng ko thấy :))),ghi tặng bông tẩy trang mà nhận hàng không thấy :)))
"chân ái của tui xài chai thứ 3 rồi cấp ẩm nhẹ , xài mướt da","chân ái của tui xài chai thứ 3 rồi cấp ẩm nhẹ , xài mướt da"
ok,ok
dùng rất ok nha cấp ẩm tốt tonner chân ái dùng đến chai t2 rồi,dùng rất ok nha cấp ẩm tốt tonner chân ái dùng đến chai t2 rồi
okk nha,okk nha
"về hasaki :giao hàng nhanh chóng với đội ngũ tư vấn dễ thương , nhiệt tình , sản phẩm thì được gói kĩ càng . đúng cho ta tin tưởng mà đặt hàng ở đây ❤️ còn sản phẩm thì theo mình thấy nó rất tốt để sd cho những ai da dầu vì nó kiềm dầu siêu đỉnh luôn , gây cảm giác thoải mái khi apply lên nhưng khó 1 cái là cách tát sp lên da ,gây dễ vón cục nhưng nhưng tóm lại mình cực siêu thích sp này !","về hasaki :giao hàng nhanh chóng với đội ngũ tư vấn dễ thương , nhiệt tình , sản phẩm thì được gói kĩ càng . đúng cho ta tin tưởng mà đặt hàng ở đây ❤️ còn sản phẩm thì theo mình thấy nó rất tốt để sử dụng cho những ai da dầu vì nó kiềm dầu siêu đỉnh luôn , gây cảm giác thoải mái khi apply lên nhưng khó 1 cái là cách tát sản phẩm lên da ,gây dễ vón cục nhưng nhưng tóm lại mình cực siêu thích sản phẩm này !"
mình mới mua và xài thấy rất thoải mái. xài như chưa xài z. kềm dầu tốt. nhẹ mặt. hk vị.,mình mới mua và xài thấy rất thoải mái. xài như chưa xài z. kềm dầu tốt. nhẹ mặt. không vị.
"kiềm dầu tốt, bản thân mình thấy dễ tán kem nếu các bạn cấp ẩm tốt nhưng có để lại vệt trắng nhưng rất ít sau khi bôi không lên tone nhiều chỉ hơi bóng , nên mua","kiềm dầu tốt, bản thân mình thấy dễ tán kem nếu các bạn cấp ẩm tốt nhưng có để lại vệt trắng nhưng rất ít sau khi bôi không lên tone nhiều chỉ hơi bóng , nên mua"
"kem chống nắng cực tệp vào da, không bóng và trắng quá khi mình apply lên da. khi dùng thì mình thấy nên tán nhanh vì kem thấm rất nhanh, nhẹ mặt cực kỳ.","kem chống nắng cực tệp vào da, không bóng và trắng quá khi mình apply lên da. khi dùng thì mình thấy nên tán nhanh vì kem thấm rất nhanh, nhẹ mặt cực kỳ."
"xài rất ok. kiềm dầu tốt, ko bí da, chống nắng tốt, ko bị bật tone, ko bị để lại vệt trắng khi đổ mồ hôi. kem nhanh khô nên mn nên tệp từng phần, trước đó nên vỗ lotion tí cho ẩm để tán kem dễ hơn.","xài rất ok. kiềm dầu tốt, không bí da, chống nắng tốt, không bị bật tone, không bị để lại vệt trắng khi đổ mồ hôi. kem nhanh khô nên mọi người nên tệp từng phần, trước đó nên vỗ lotion tí cho ẩm để tán kem dễ hơn."
"xài ok lắm nha mn, kiềm dầu rất tốt, mãi mới chọn được em này ưng ý nhất. mn lưu ý: kem hơi nhanh khô nên khi bôi thì bôi từng vùng và vỗ nhẹ sẽ thấm vào da rất êm. lúc đầu mình dùng cũng bị vón, nguyên nhân là do tay còn dính các sp dưỡng của bước trước hoặc động tác bôi không nhanh tay, miết nhiều, kem khô nhanh. nếu rửa sạch tay trước khi bôi kcn và vỗ nhẹ, không nên miết nhiều, thì sẽ khắc phục được nhược điểm này. khi bôi dặm lần 2, lần 3 mn lấy giấy thấm bớt mồ hôi rồi chấm và vỗ nhẹ đều là được, nhớ là đừng miết, miết sẽ bị vón ngay","xài ok lắm nha mọi người, kiềm dầu rất tốt, mãi mới chọn được em này ưng ý nhất. mọi người lưu ý: kem hơi nhanh khô nên khi bôi thì bôi từng vùng và vỗ nhẹ sẽ thấm vào da rất êm. lúc đầu mình dùng cũng bị vón, nguyên nhân là do tay còn dính các sản phẩm dưỡng của bước trước hoặc động tác bôi không nhanh tay, miết nhiều, kem khô nhanh. nếu rửa sạch tay trước khi bôi kem chống nắng và vỗ nhẹ, không nên miết nhiều, thì sẽ khắc phục được nhược điểm này. khi bôi dặm lần 2, lần 3 mọi người lấy giấy thấm bớt mồ hôi rồi chấm và vỗ nhẹ đều là được, nhớ là đừng miết, miết sẽ bị vón ngay"
ngoài việc hơi vón ra thì em này tuyệt vời. nhưng kiềm dầu kém nhé. mình dùng k bị lên mụn,ngoài việc hơi vón ra thì em này tuyệt vời. nhưng kiềm dầu kém nhé. mình dùng không bị lên mụn
"lúc trước mình dùng rất ok. đợi cả tháng mới có,mẫu mới này mình dùng ko ổn chút nào cố bôi vài ngày thì mẫn lên mụn. bùn ghê","lúc trước mình dùng rất ok. đợi cả tháng mới có,mẫu mới này mình dùng không ổn chút nào cố bôi vài ngày thì mẫn lên mụn. bùn ghê"
"xài ok nhe xài cả ngày ko bị dầu , mặt mũi cũng ko bị bóng mấy . cách bôi thì mỗi lần lấy 1 chút rồi tán đều lên mặt , như vậy kem sẽ đều và không bị vón cục nha.","xài ok nhe xài cả ngày không bị dầu , mặt mũi cũng không bị bóng mấy . cách bôi thì mỗi lần lấy 1 chút rồi tán đều lên mặt , như vậy kem sẽ đều và không bị vón cục nha."
"chất kem nhẹ, dùng ổn nhưng hạy bị vệt trắng khi dùng trên da, và vón cục.","chất kem nhẹ, dùng ổn nhưng hạy bị vệt trắng khi dùng trên da, và vón cục."
"không nên dùng chung với lrp balm b5 vì sẽ có vệt trắng. hơi dễ vón cục nha mấy bạn. điểm cộng là cái đầu nhấn lấy kem ra. nói chung cũng ổn ổn chứ không phải kiểu ""ngon""- perfect như mấy bạn hay review.","không nên dùng chung với lrp balm b5 vì sẽ có vệt trắng. hơi dễ vón cục nha mấy bạn. điểm cộng là cái đầu nhấn lấy kem ra. nói chung cũng ổn ổn chứ không phải kiểu ""ngon""- perfect như mấy bạn hay review."
"sản phẩm này rất thích hợp cho da dầu, kiểm soát dầu và chống nắng cực tốt, mình đã sử dụng và e nó sẽ đồng hành cùng mình ❤️❤️","sản phẩm này rất thích hợp cho da dầu, kiểm soát dầu và chống nắng cực tốt, mình đã sử dụng và e nó sẽ đồng hành cùng mình ❤️❤️"
"xài thử 1 chai và quyết định chọn loại này luôn để xài, vì quá ưng loại này. chống nắng tốt không bóng dầu tệp màu da. mua đợt này vì hết quà nên giảm trực tiếp 15k và hóa đơn trên 499k còn đc tặng chai gel rữa mặt! thích lắm","xài thử 1 chai và quyết định chọn loại này luôn để xài, vì quá ưng loại này. chống nắng tốt không bóng dầu tệp màu da. mua đợt này vì hết quà nên giảm trực tiếp 15k và hóa đơn trên 499k còn được tặng chai gel rữa mặt! thích lắm"
mua hàng của hasaki là yên tâm. tips thoa kcn laroche này không bị vón vệt trắng là thoa 1 lớp serum hoặc kem dưỡng không tạo màng trước rồi tới kcn là mượt luôn.,mua hàng của hasaki là yên tâm. mẹo thoa kem chống nắng laroche này không bị vón vệt trắng là thoa 1 lớp serum hoặc kem dưỡng không tạo màng trước rồi tới kem chống nắng là mượt luôn.
các bác dưỡng ẩm kĩ r oánh và tán đều tay nha vẫn vệt nếu da khô như thường,các bác dưỡng ẩm kĩ r oánh và tán đều tay nha vẫn vệt nếu da khô như thường
"chỉ 1 từ thôi, kem chống nắng đỉnh của chóp. mình xài đến chai thứ 3 rồi, và sẽ tiếp tục xài hoài","chỉ 1 từ thôi, kem chống nắng đỉnh của chóp. mình xài đến chai thứ 3 rồi, và sẽ tiếp tục xài hoài"
"kiềm dầu tệ, dễ vón khi thoa lên mặt","kiềm dầu tệ, dễ vón khi thoa lên mặt"
sp rất tốt,sản phẩm rất tốt
giá siêu hời. hàng chính hãng. sẽ tiếp tục ủng hộ,giá siêu hời. hàng chính hãng. sẽ tiếp tục ủng hộ
"hình như là mẫu mới, không ưng tẹo nào, không nâng tông không mịn da như mẫu cũ nữa, đeo khẩu trang còn bị vón cục trên mặt","hình như là mẫu mới, không ưng tẹo nào, không nâng tông không mịn da như mẫu cũ nữa, đeo khẩu trang còn bị vón cục trên mặt"
"đặt khuya hôm qua tới 9h sáng hôm nay có , tem nhãn niêm yết đàng hoàng","đặt khuya hôm qua tới 9h sáng hôm nay có , tem nhãn niêm yết đàng hoàng"
"mình rất thích loại kem cn này, nhưng vẫn chưa tìm đc chân ái dưỡng ẩm để kết hợp cục cho khỏi bị vón","mình rất thích loại kem cn này, nhưng vẫn chưa tìm được chân ái dưỡng ẩm để kết hợp cục cho khỏi bị vón"
"kiềm dầu hong tốt lắm, nhưng màng lọc ổn nên ráng sài","kiềm dầu hong tốt lắm, nhưng màng lọc ổn nên ráng xài"
chê nha. cực kỳ vón với nóng mặt,chê nha. cực kỳ vón với nóng mặt
"kiềm dầu cũng không tốt lắm, mà được cái ráo mịn, không vón, không trắng bệt","kiềm dầu cũng không tốt lắm, mà được cái ráo mịn, không vón, không trắng bệt"
"mình mua tuýp nhỏ 155k dùng trước thấy rất ok, mình sd các bước dưỡng da trc 15' sau mình mới bôi kcn này lên ko hề vón cục gì hết, xài rất ưng ko bị nhờn hah đổ dầu j cả! chấm kem đều lên da xong tán nhanh vỗ nhẹ là đều","mình mua tuýp nhỏ 155k dùng trước thấy rất ok, mình sử dụng các bước dưỡng da trc 15' sau mình mới bôi kem chống nắng này lên không hề vón cục gì hết, xài rất ưng không bị nhờn hah đổ dầu gì cả! chấm kem đều lên da xong tán nhanh vỗ nhẹ là đều"
"kem chống nắng rất tốt, da phải dưỡng đủ ẩm thì khi thoa lên mới ko bị vón, vì kem chống gây nhờn rít và mau khô trên da . thoa đến đâu vỗ đều và tán đều tới đó . kem này cần biết cách thoa và dưỡng ẩm kỹ mới ko bị vón nha","kem chống nắng rất tốt, da phải dưỡng đủ ẩm thì khi thoa lên mới không bị vón, vì kem chống gây nhờn rít và mau khô trên da . thoa đến đâu vỗ đều và tán đều tới đó . kem này cần biết cách thoa và dưỡng ẩm kỹ mới không bị vón nha"
"sản phẩm có mùi nhựa rất nồng, ib shop thì nhân viên bảo là sản phẩm không có hương liệu, nhưng đây là mùi nhựa chứ k phải mùi thơm gì cả. mới mua mà không dám dùng luôn :((","sản phẩm có mùi nhựa rất nồng, ib shop thì nhân viên bảo là sản phẩm không có hương liệu, nhưng đây là mùi nhựa chứ không phải mùi thơm gì cả. mới mua mà không dám dùng luôn :(("
"e sử dụng mỗi loại này, thoa từng vùng trét đến đâu tán đều nhanh tay đến đó, sản phẩm nhanh khô nên lúc thoa đừng ngồi trước gió. da đủ ẩm, không có da chết thì không hề bị vón cục nha. e thấy mọi người đánh giá 1* tội shop","e sử dụng mỗi loại này, thoa từng vùng trét đến đâu tán đều nhanh tay đến đó, sản phẩm nhanh khô nên lúc thoa đừng ngồi trước gió. da đủ ẩm, không có da chết thì không hề bị vón cục nha. e thấy mọi người đánh giá 1* tội shop"
siêu vón cục không tán ra được,siêu vón cục không tán ra được
"tips: dùng toner hoặc serum hoặc kem dưỡng trước rồi mới tới kcn nha, như vậy sẽ không bị vón cục ạ chất kem không quá đặc, mình thích mùi này lắm thơm kiểu gì ấy, bôi tới đâu thấm tới đó, không nhờn dính, không rít. sau khi bôi lớp nền rất đẹp, độ bóng nhẹ mịn và mướt, nâng tông nhẹ nhàng (bạn nào da ngăm trông sẽ giả trân) kiềm dầu tốt mình bôi cả ngày mặt vẫn khô ráo không đổ dầu đặc biệt là mồ hôi đổ kem không bị chảy không trôi theo, cái nào ra cái đó, không bị vón khi đeo khẩu trang","mẹo: dùng toner hoặc serum hoặc kem dưỡng trước rồi mới tới kem chống nắng nha, như vậy sẽ không bị vón cục ạ chất kem không quá đặc, mình thích mùi này lắm thơm kiểu gì ấy, bôi tới đâu thấm tới đó, không nhờn dính, không rít. sau khi bôi lớp nền rất đẹp, độ bóng nhẹ mịn và mướt, nâng tông nhẹ nhàng (bạn nào da ngăm trông sẽ giả trân) kiềm dầu tốt mình bôi cả ngày mặt vẫn khô ráo không đổ dầu đặc biệt là mồ hôi đổ kem không bị chảy không trôi theo, cái nào ra cái đó, không bị vón khi đeo khẩu trang"
shop ơi thấy có đăng tặng bông tày trang sao mà mua về lại ko có quà tặng zậy ạ,shop ơi thấy có đăng tặng bông tày trang sao mà mua về lại không có quà tặng zậy ạ
đó h nghe review quá chời . k tin lắm . nhưng thử cái mê luôn. kiềm dầu khô nhanh . mình dúng chung với serum k thấy vón gì cả . êm nha,đó giờ nghe review quá chời . không tin lắm . nhưng thử cái mê luôn. kiềm dầu khô nhanh . mình dúng chung với serum không thấy vón gì cả . êm nha
"dùng kiểu gì thì cũng bị vón cục, thất vọng","dùng kiểu gì thì cũng bị vón cục, thất vọng"
