,data_product_id,content_comment,lower_comment,decoded_comment,translated_comment
10,65994,"Mới dùng lần đầu thấy cũng ổn, toner dạng đặt nên rất tiết kiệm","mới dùng lần đầu thấy cũng ổn, toner dạng đặt nên rất tiết kiệm","mới dùng lần đầu thấy cũng ổn, toner dạng đặt nên rất tiết kiệm","Just used it for the first time and it seems fine, the toner comes in a set form so it's very economical"
11,65994,"Đã nhận ,","đã nhận ,","đã nhận ,","received ,"
12,65994,"mùi đúng relax, lành tính, quá tốt","mùi đúng relax, lành tính, quá tốt","mùi đúng thoải mái, lành tính, quá tốt","The smell is so comfortable, benign, so good"
13,65994,Rất tốt,rất tốt,rất tốt,Very good
14,65994,"dùng rất tốt k bị nhớt dính,thẩm thấu nhanh","dùng rất tốt k bị nhớt dính,thẩm thấu nhanh","dùng rất tốt không bị nhớt dính,thẩm thấu nhanh","Very good to use, not sticky, absorbs quickly"
15,65994,"không hổ danh là dear klairs. Xài được cho da nhạy cảm, da rất ẩm mượt","không hổ danh là dear klairs. xài được cho da nhạy cảm, da rất ẩm mượt","không hổ danh là dear klairs. xài được cho da nhạy cảm, da rất ẩm mượt","As expected of dear Klairs. Can be used for sensitive skin, skin is very moist and smooth"
16,65994,"Hương thơm dễ chịu, lành tính, Cấp ẩm lm dịu da rất tốt. Dùg thấy da khỏe hơn","hương thơm dễ chịu, lành tính, cấp ẩm lm dịu da rất tốt. dùg thấy da khỏe hơn","hương thơm dễ chịu, lành tính, cấp ẩm lm dịu da rất tốt. dùg thấy da khỏe hơn","Pleasant, benign fragrance, moisturizes and soothes the skin very well. See healthier skin"
17,65994,toner mùi relax thật sự cấp ẩm đỉnh sẽ mua sài dài dài,toner mùi relax thật sự cấp ẩm đỉnh sẽ mua sài dài dài,toner mùi thoải mái thật sự cấp ẩm đỉnh sẽ mua xài dài dài,The toner has a pleasant smell and is really moisturizing. I will buy it and use it for a long time
18,65994,Chai này có thiết kế tốt. Dùng tốt. mình dùng mấy chai rồi. thật sự là có se khít lỗ chân lông nhé. nền da cải thiện lắm,chai này có thiết kế tốt. dùng tốt. mình dùng mấy chai rồi. thật sự là có se khít lỗ chân lông nhé. nền da cải thiện lắm,chai này có thiết kế tốt. dùng tốt. mình dùng mấy chai rồi. thật sự là có se khít lỗ chân lông nhé. nền da cải thiện lắm,This bottle has a good design. good use. I have used several bottles. It really does tighten pores. Skin has improved a lot
19,65994,Lành tính. Nhưng da đổ dầu nhiều sau khi apply serum kem dưỡng…,lành tính. nhưng da đổ dầu nhiều sau khi apply serum kem dưỡng…,lành tính. nhưng da đổ dầu nhiều sau khi apply serum kem dưỡng…,benign. But my skin gets a lot of oil after applying serum and moisturizer...
20,65994,"Mình da dầu dùng toner klairs thấy da mướt và căng bóng lắm , thấy cũng bớt đổ dầu . Nên dùng ạ","mình da dầu dùng toner klairs thấy da mướt và căng bóng lắm , thấy cũng bớt đổ dầu . nên dùng ạ","mình da dầu dùng toner klairs thấy da mướt và căng bóng lắm , thấy cũng bớt đổ dầu . nên dùng ạ","I have oily skin and use Klairs toner and my skin feels very smooth and shiny, and I also feel less oily. should use it"
21,65994,"toner chân ái của tui. dùng cấp ẩm tốt mà còn giảm kích ứng, sưng viêm mụn. chỉ mê e này","toner chân ái của tui. dùng cấp ẩm tốt mà còn giảm kích ứng, sưng viêm mụn. chỉ mê e này","toner chân ái của tui. dùng cấp ẩm tốt mà còn giảm kích ứng, sưng viêm mụn. chỉ mê e này","My beloved toner. Good for moisturizing but also reduces irritation, inflammation and acne. just love this one"
22,65994,"Trời ạ, em này phải nói lun ngoài cấp ẩm, em này còn cấp mụn tích cực luôn ý :)). Nói là dành cho da nhạy cảm nhưng có mùi hương liệu nên k dành cho mb da dị ứng mùi nha. Da mình khá khỏe, k nhạy cảm mà nhờ ẻm từ da k mụn sang mụn ẩn tè le, bonus thêm mụn bọc khá to( mình chưa bao h bị mụn bọc lun á). Còn mấy b da k bị dị ứng thì cứ tt dùng em này nha","trời ạ, em này phải nói lun ngoài cấp ẩm, em này còn cấp mụn tích cực luôn ý :)). nói là dành cho da nhạy cảm nhưng có mùi hương liệu nên k dành cho mb da dị ứng mùi nha. da mình khá khỏe, k nhạy cảm mà nhờ ẻm từ da k mụn sang mụn ẩn tè le, bonus thêm mụn bọc khá to( mình chưa bao h bị mụn bọc lun á). còn mấy b da k bị dị ứng thì cứ tt dùng em này nha","trời ạ, em này phải nói lun ngoài cấp ẩm, em này còn cấp mụn tích cực luôn ý :)). nói là dành cho da nhạy cảm nhưng có mùi hương liệu nên không dành cho mb da dị ứng mùi nha. da mình khá khỏe, không nhạy cảm mà nhờ ẻm từ da không mụn sang mụn ẩn tè le, bonus thêm mụn bọc khá to( mình chưa bao giờ bị mụn bọc lun á). còn mấy b da không bị dị ứng thì cứ tẩy trang dùng em này nha","Oh my god, I have to say that in addition to moisturizing, this product is also good for acne :)). It says it's for sensitive skin but it has a scent so it's not for people with scent-sensitive skin. My skin is quite healthy, not sensitive, but thanks to her, my skin has gone from acne-free to acne-free, plus quite big acne (I've never had acne before). If you have non-allergic skin, just use this product to remove makeup"
23,65994,Mới nhận mùi dễ chịu Phải dùng thử mới đánh giá đc giao hàng nhanh,mới nhận mùi dễ chịu phải dùng thử mới đánh giá đc giao hàng nhanh,mới nhận mùi dễ chịu phải dùng thử mới đánh giá được giao hàng nhanh,"Just received, pleasant smell, must try to evaluate, fast delivery"
24,65994,Mình xài đc nửa chai rồi. Cảm nhận sau khi sd e nó thì da mình ẩm hơn hơn như đc cấp nước. Thấy cũng khá ổn ko kích ứng da,mình xài đc nửa chai rồi. cảm nhận sau khi sd e nó thì da mình ẩm hơn hơn như đc cấp nước. thấy cũng khá ổn ko kích ứng da,mình xài được nửa chai rồi. cảm nhận sau khi sử dụng e nó thì da mình ẩm hơn hơn như được cấp nước. thấy cũng khá ổn không kích ứng da,"I have used half a bottle already. I feel like after using it, my skin feels more moist and hydrated. Seems pretty good and doesn't irritate the skin"
25,65994,Tot a,tot a,tot a,good a
26,65994,"Mình đã sử dụng chai này là chai thứ 3-4 rồi !! Toner ko có mùi nên rất dễ chịu, sử dụng sau khi rửa mặt sẽ thấy da mặt được dịu lại và cấp ẩm rất tốt luôn !","mình đã sử dụng chai này là chai thứ 3-4 rồi !! toner ko có mùi nên rất dễ chịu, sử dụng sau khi rửa mặt sẽ thấy da mặt được dịu lại và cấp ẩm rất tốt luôn !","mình đã sử dụng chai này là chai thứ 3-4 rồi !! toner không có mùi nên rất dễ chịu, sử dụng sau khi rửa mặt sẽ thấy da mặt được dịu lại và cấp ẩm rất tốt luôn !","I have been using this bottle for the 3rd-4th time!! The toner has no odor so it is very pleasant. When used after washing your face, your skin will feel soothed and moisturized very well!"
27,65994,"Mình dùng chai tím, cấp ẩm rất tốt, dịu nhẹ mát da, nhưng cũng ko thấy tác dụng gì rõ rệt, cho đến khi mình dùng bha obagi thì da bị tối màu (ko dùng toner j thêm), sau đó mình thay đổi dùng toner TÍM này rồi mới thoa bha obagi thì da căng bóng mướt mịn nhìn rất thích.","mình dùng chai tím, cấp ẩm rất tốt, dịu nhẹ mát da, nhưng cũng ko thấy tác dụng gì rõ rệt, cho đến khi mình dùng bha obagi thì da bị tối màu (ko dùng toner j thêm), sau đó mình thay đổi dùng toner tím này rồi mới thoa bha obagi thì da căng bóng mướt mịn nhìn rất thích.","mình dùng chai tím, cấp ẩm rất tốt, dịu nhẹ mát da, nhưng cũng không thấy tác dụng gì rõ rệt, cho đến khi mình dùng bha obagi thì da bị tối màu (không dùng toner gì thêm), sau đó mình thay đổi dùng toner tím này rồi mới thoa bha obagi thì da căng bóng mướt mịn nhìn rất thích.","I use the purple bottle, it moisturizes very well, gently cools the skin, but I don't see any obvious effect, until I use bha obagi, my skin becomes dark (don't use any toner), then I change it. Use this purple toner and then apply bha obagi, your skin will be smooth and shiny, you will love it."
28,65994,sp tốt .,sp tốt .,sản phẩm tốt .,good product .
29,65994,"Đã nhận đc hàng. Giá tốt, shipper dễ thương. Chất lượng thì hi vọng cg sẽ tốt","đã nhận đc hàng. giá tốt, shipper dễ thương. chất lượng thì hi vọng cg sẽ tốt","đã nhận được hàng. giá tốt, shipper dễ thương. chất lượng thì hi vọng cũng sẽ tốt","received the goods. Good price, cute shipper. Hopefully the quality will also be good"
30,65994,Sp rất tốt Sài rất là thích mịn da,sp rất tốt sài rất là thích mịn da,sản phẩm rất tốt xài rất là thích mịn da,"Very good product, I really like it and makes my skin smooth"
31,65994,"Đã sử dụng hết 1 chai. Có mùi thơm nhẹ, mềm da, nhanh thấm.","đã sử dụng hết 1 chai. có mùi thơm nhẹ, mềm da, nhanh thấm.","đã sử dụng hết 1 chai. có mùi thơm nhẹ, mềm da, nhanh thấm.","Used up 1 bottle. Has a light fragrance, softens skin, absorbs quickly."
32,65994,chai tuy 180ml thôi nhunge dùng siêu lâu do chất em này hơi sệt mình dùng dòng này nên mùi thơm rất thích lành tính cấp ẩm tốt lắm giá quá hợp lí phải nói là chân ái luôn sẽ mua lại thiệc nhiều lần,chai tuy 180ml thôi nhunge dùng siêu lâu do chất em này hơi sệt mình dùng dòng này nên mùi thơm rất thích lành tính cấp ẩm tốt lắm giá quá hợp lí phải nói là chân ái luôn sẽ mua lại thiệc nhiều lần,chai tuy 180ml thôi nhunge dùng siêu lâu do chất em này hơi sệt mình dùng dòng này nên mùi thơm rất thích lành tính cấp ẩm tốt lắm giá quá hợp lí phải nói là chân ái luôn sẽ mua lại thiệc nhiều lần,"Although the bottle is only 180ml, it lasts a long time because the quality is a bit thick. I use this line so the scent is very pleasant, gentle, good moisturizing, the price is very reasonable, I must say that I will definitely buy it again and again."
33,65994,hàng Sài êm mà mau hết quá,hàng sài êm mà mau hết quá,hàng xài êm mà mau hết quá,The product is easy to use but runs out quickly
34,65994,"Sử dụng đúng kiểu relax luôn. Mát, thấm nhanh, cấp ẩm ổn","sử dụng đúng kiểu relax luôn. mát, thấm nhanh, cấp ẩm ổn","sử dụng đúng kiểu thoải mái luôn. mát, thấm nhanh, cấp ẩm ổn","Always use it comfortably. Cool, absorbs quickly, moisturizes well"
35,65994,"toner cấp ẩm tốt, thấm nhanh ko nhờn rít, mùi dễ chịu, mình dùng chai thứ 2 rồi vẫn thích","toner cấp ẩm tốt, thấm nhanh ko nhờn rít, mùi dễ chịu, mình dùng chai thứ 2 rồi vẫn thích","toner cấp ẩm tốt, thấm nhanh không nhờn rít, mùi dễ chịu, mình dùng chai thứ 2 rồi vẫn thích","Good moisturizing toner, absorbs quickly, not greasy, pleasant smell, I'm using the second bottle and still like it"
36,65994,"Xài thích lắm nhe, cấp ẩm tốt, có hương liệu nhưng k kích ứng đâu, ngược lại mình thấy fresh lắm","xài thích lắm nhe, cấp ẩm tốt, có hương liệu nhưng k kích ứng đâu, ngược lại mình thấy fresh lắm","xài thích lắm nhe, cấp ẩm tốt, có hương liệu nhưng không kích ứng đâu, ngược lại mình thấy fresh lắm","I really enjoy using it, it moisturizes well, has fragrance but does not cause irritation, on the contrary, I feel very fresh"
37,65994,"chai toner này dưỡng ẩm rất tốt, máu khô ,mau thấm","chai toner này dưỡng ẩm rất tốt, máu khô ,mau thấm","chai toner này dưỡng ẩm rất tốt, máu khô ,mau thấm","This toner bottle moisturizes very well, dries blood, and absorbs quickly"
38,65994,"Da mình rất nhạy cảm từ mặt tới body luôn, mình được bé chung phòng giới thiệu em này và sd thử, khá ok sẽ gắn bó lâu dài nè","da mình rất nhạy cảm từ mặt tới body luôn, mình được bé chung phòng giới thiệu em này và sd thử, khá ok sẽ gắn bó lâu dài nè","da mình rất nhạy cảm từ mặt tới body luôn, mình được bé chung phòng giới thiệu em này và sử dụng thử, khá ok sẽ gắn bó lâu dài nè",My skin is very sensitive from face to body. I was introduced to this product by my roommate and tried it. It's quite ok and will stick with it for a long time.
39,65994,"cấp ẩm tốt, dùng đc lâu, rất thích klairs","cấp ẩm tốt, dùng đc lâu, rất thích klairs","cấp ẩm tốt, dùng được lâu, rất thích klairs","Moisturizes well, lasts a long time, really like Klairs"
40,65994,Dùng sau khi tdc hoá học quá là ẩm và ô cê. Chân ái cuộc đời,dùng sau khi tdc hoá học quá là ẩm và ô cê. chân ái cuộc đời,dùng sau khi tdc hoá học quá là ẩm và ô cê. chân ái cuộc đời,"Used after chemical treatment, it is too moist and dirty. true love of life"
41,65994,Toner này khỏi phải chê mình dùng lọ thứ 2 dưỡng ẩm tốt dùng được khá lâu. Mua Hasaki chính hãng giá rẻ hơn bên ngoài,toner này khỏi phải chê mình dùng lọ thứ 2 dưỡng ẩm tốt dùng được khá lâu. mua hasaki chính hãng giá rẻ hơn bên ngoài,toner này khỏi phải chê mình dùng lọ thứ 2 dưỡng ẩm tốt dùng được khá lâu. mua hasaki chính hãng giá rẻ hơn bên ngoài,"There's no need to complain about this toner. I used the second bottle, it's a good moisturizer and lasts for quite a long time. Buy genuine hasaki at a cheaper price than outside"
42,65994,"Sp dùng cho da khô rất tốt. Mình xài gần hết rồi mới đánh giá đây. Da mình rất khô, trời lạnh là khô ráp, bong vảy, nứt ngứa luôn. Dùng sp toner - serum - dưỡng ẩm của Klair thấy ok quá trời. Da dịu liền","sp dùng cho da khô rất tốt. mình xài gần hết rồi mới đánh giá đây. da mình rất khô, trời lạnh là khô ráp, bong vảy, nứt ngứa luôn. dùng sp toner - serum - dưỡng ẩm của klair thấy ok quá trời. da dịu liền","sản phẩm dùng cho da khô rất tốt. mình xài gần hết rồi mới đánh giá đây. da mình rất khô, trời lạnh là khô ráp, bong vảy, nứt ngứa luôn. dùng sản phẩm toner - serum - dưỡng ẩm của klair thấy ok quá trời. da dịu liền","The product is very good for dry skin. I used it almost all before reviewing it. My skin is very dry, when it's cold it becomes dry, flaky, cracked and itchy. Using Klair's toner - serum - moisturizer products feels great. immediately soothed skin"
43,65994,Mua tại cửa hàng 245k giá giảm. Còn mua app lại có 229k,mua tại cửa hàng 245k giá giảm. còn mua app lại có 229k,mua tại cửa hàng 245k giá giảm. còn mua app lại có 229k,"Buy at the store for 245k, discounted price. Buying the app costs 229k"
44,65994,sp nhẹ nhàng và phù hợp cho da nhạy cảm cấp ẩm khá tốt và không có mùi,sp nhẹ nhàng và phù hợp cho da nhạy cảm cấp ẩm khá tốt và không có mùi,sản phẩm nhẹ nhàng và phù hợp cho da nhạy cảm cấp ẩm khá tốt và không có mùi,"The product is gentle and suitable for sensitive skin, moisturizes quite well and has no odor"
45,65994,Sd rất tốt cho da nhạy cảm ạ,sd rất tốt cho da nhạy cảm ạ,sử dụng rất tốt cho da nhạy cảm ạ,Very good to use for sensitive skin
46,65994,"thấm nhanh, không mùi công dụng khá bình thường so với số tiền bỏ ra thiết kế khó khăn trong việc sử dụng","thấm nhanh, không mùi công dụng khá bình thường so với số tiền bỏ ra thiết kế khó khăn trong việc sử dụng","thấm nhanh, không mùi công dụng khá bình thường so với số tiền bỏ ra thiết kế khó khăn trong việc sử dụng","Absorbs quickly, has no odor, has quite normal uses compared to the amount of money spent, and is designed to be difficult to use"
47,65994,Cấp ẩm tốt dịu nhẹ và đặt biệt là sài siêu lâu nha,cấp ẩm tốt dịu nhẹ và đặt biệt là sài siêu lâu nha,cấp ẩm tốt dịu nhẹ và đặt biệt là xài siêu lâu nha,"Moisturizes well, is gentle and especially lasts for a very long time"
48,65994,"Mình da nhạy cảm mà dùng e này k hợp bị lên mụn , có mùi hơi khó chịu nữa","mình da nhạy cảm mà dùng e này k hợp bị lên mụn , có mùi hơi khó chịu nữa","mình da nhạy cảm mà dùng e này không hợp bị lên mụn , có mùi hơi khó chịu nữa",I have sensitive skin and this product is not suitable for acne. It has a slightly unpleasant smell
49,65994,Dịu nhẹ Không mùi Dễ thẩm thấu cấp ẩm cho da đang trị mụn,dịu nhẹ không mùi dễ thẩm thấu cấp ẩm cho da đang trị mụn,dịu nhẹ không mùi dễ thẩm thấu cấp ẩm cho da đang trị mụn,"Gentle, odorless, easily absorbed, and moisturizes skin that is treating acne"
50,65994,"Da mình là da siêu nhạy cảm, dễ kích ứng. Xài em này rất êm nha. Trộm vía là em nó có cấp ẩm cho da, apply lên da xong thấy da mướt đc xíu","da mình là da siêu nhạy cảm, dễ kích ứng. xài em này rất êm nha. trộm vía là em nó có cấp ẩm cho da, apply lên da xong thấy da mướt đc xíu","da mình là da siêu nhạy cảm, dễ kích ứng. xài em này rất êm nha. trộm vía là em nó có cấp ẩm cho da, apply lên da xong thấy da mướt được xíu","My skin is super sensitive, easily irritated. I use this very smoothly. Surprisingly, it moisturizes the skin. After applying it, the skin feels a little smoother"
51,65994,"Mình xài ngày 2 lần thấy da ẩm hơn và cải thiện nhiều , nên xài kèm serum , sáng nhớ rửa mặt để ko lên mụn","mình xài ngày 2 lần thấy da ẩm hơn và cải thiện nhiều , nên xài kèm serum , sáng nhớ rửa mặt để ko lên mụn","mình xài ngày 2 lần thấy da ẩm hơn và cải thiện nhiều , nên xài kèm serum , sáng nhớ rửa mặt để không lên mụn",I use it twice a day and see that my skin is more moist and improved. I recommend using it with serum. Remember to wash your face in the morning to avoid acne.
52,65994,Da mình nhạy cảm nhưng sd em này có cảm giác rát . Có mùi cồn nhẹ .,da mình nhạy cảm nhưng sd em này có cảm giác rát . có mùi cồn nhẹ .,da mình nhạy cảm nhưng sử dụng em này có cảm giác rát . có mùi cồn nhẹ .,My skin is sensitive but using this product gives me a burning sensation. Has a slight alcohol smell.
53,65994,"cấp ẩm tốt, dịu nhẹ cho da nhạy cảm, ko mùi nên rất thích","cấp ẩm tốt, dịu nhẹ cho da nhạy cảm, ko mùi nên rất thích","cấp ẩm tốt, dịu nhẹ cho da nhạy cảm, không mùi nên rất thích","Good moisturizing, gentle for sensitive skin, odorless so I really like it"
54,65994,Trước mình xài loại có hương liệu (chai đục) rất là thích. Nay mình chuyển thử qua e này...ối dời ôi....bị mụn rất nhiều (bth mặt mình k có mụn ai cũng khen) mà giờ mọc tùm lum,trước mình xài loại có hương liệu (chai đục) rất là thích. nay mình chuyển thử qua e này...ối dời ôi....bị mụn rất nhiều (bth mặt mình k có mụn ai cũng khen) mà giờ mọc tùm lum,trước mình xài loại có hương liệu (chai đục) rất là thích. nay mình chuyển thử qua e này...ối dời ôi....bị mụn rất nhiều (bình thường mặt mình không có mụn ai cũng khen) mà giờ mọc tùm lum,"Before, I used the flavored one (opaque bottle) and really liked it. Now I switched to this product... oh my god... I have a lot of acne (normally my face doesn't have acne and everyone compliments me) but now it's all over."
55,65994,"Thấm nhanh,cấp ẩm tốt, da nhạy cảm nên mua.","thấm nhanh,cấp ẩm tốt, da nhạy cảm nên mua.","thấm nhanh,cấp ẩm tốt, da nhạy cảm nên mua.","Absorbs quickly, moisturizes well, sensitive skin should buy."
56,65994,em này dùng sau bước rửa mặt cực thích đã ẩm tonner không mùi dễ chịu trên da bao bì cứng cáp ❤️❤️❤️,em này dùng sau bước rửa mặt cực thích đã ẩm tonner không mùi dễ chịu trên da bao bì cứng cáp ❤️❤️❤️,em này dùng sau bước rửa mặt cực thích đã ẩm tonner không mùi dễ chịu trên da bao bì cứng cáp ❤️❤️❤️,"Use this product after washing your face, it's a very moisturizing toner, no smell, pleasant on the skin, sturdy packaging ❤️❤️❤️"
57,65994,da mình khá khô dùng em này thì ổn vừa đủ cấp ẩm thui,da mình khá khô dùng em này thì ổn vừa đủ cấp ẩm thui,da mình khá khô dùng em này thì ổn vừa đủ cấp ẩm thui,"My skin is quite dry, so using this product is fine and moisturizing enough"
58,65994,thấy có tặng bông tẩy trang nma lúc giao hàng thì kh có,thấy có tặng bông tẩy trang nma lúc giao hàng thì kh có,thấy có tặng bông tẩy trang nhưng lúc giao hàng thì kh có,I saw there was a free makeup remover cotton pad but it wasn't there when it was delivered
59,65994,Ok,ok,ok,ok
60,65994,Sp tốt k bàn cãi j rồi..da mk đang khô nên tậu e này về liền,sp tốt k bàn cãi j rồi..da mk đang khô nên tậu e này về liền,sản phẩm tốt không bàn cãi gì rồi..da mình đang khô nên tậu e này về liền,"Good product, no doubt..my skin is dry so I bought this immediately"
61,65994,tốt,tốt,tốt,Good
62,65994,"Mình mua xài được 4 lần, do ko hợp nên muốn pass lại 100k, zalo 0908128429","mình mua xài được 4 lần, do ko hợp nên muốn pass lại 100k, zalo 0908128429","mình mua xài được 4 lần, do không hợp nên muốn pass lại 100k, zalo 0908128429","I bought it and used it 4 times, but because it didn't fit me, I want to refund 100k, zalo 0908128429"
63,65994,k cần ns j nhìu,k cần ns j nhìu,không cần nói gì nhìu,no need to say anything
64,65994,"Toner có kết cấu đặc nên dùng rất tiết kiệm nhé, nên dùng tay apply trực tiếp để tiết kiệm nhân đôi nhé mọi người","toner có kết cấu đặc nên dùng rất tiết kiệm nhé, nên dùng tay apply trực tiếp để tiết kiệm nhân đôi nhé mọi người","toner có kết cấu đặc nên dùng rất tiết kiệm nhé, nên dùng tay apply trực tiếp để tiết kiệm nhân đôi nhé mọi người",The toner has a thick texture so use it very sparingly. You should apply it directly with your hands to double the savings
65,65994,Cảm nhận của mình khi sử dụng hai loại có hương liệu và cho da nhạy cảm. Thì cấp ẩm tốt cho da hh thiên dầu như mình. Còn việc tặng bông tẩy trang thì mình mua lúc hết quà và đc giảm 15k trong đơn hàng ạ,cảm nhận của mình khi sử dụng hai loại có hương liệu và cho da nhạy cảm. thì cấp ẩm tốt cho da hh thiên dầu như mình. còn việc tặng bông tẩy trang thì mình mua lúc hết quà và đc giảm 15k trong đơn hàng ạ,cảm nhận của mình khi sử dụng hai loại có hương liệu và cho da nhạy cảm. thì cấp ẩm tốt cho da hỗn hợp thiên dầu như mình. còn việc tặng bông tẩy trang thì mình mua lúc hết quà và được giảm 15k trong đơn hàng ạ,"My feelings when using two types with fragrance and for sensitive skin. Moisturizes well for oily combination skin like me. As for the gift of makeup remover cotton, I bought it when the gift ran out and received a 15k discount on the order"
66,65994,"Cá nhân mình da HH thiên dầu nhạy cảm thì dùng loại này không thích bằng loại có hương liệu. Chắc tuỳ thể trạng da. Nhưng nói chung toner này lành tính, không bết/rít, tvia êm da.","cá nhân mình da hh thiên dầu nhạy cảm thì dùng loại này không thích bằng loại có hương liệu. chắc tuỳ thể trạng da. nhưng nói chung toner này lành tính, không bết/rít, tvia êm da.","cá nhân mình da hỗn hợp thiên dầu nhạy cảm thì dùng loại này không thích bằng loại có hương liệu. chắc tuỳ thể trạng da. nhưng nói chung toner này lành tính, không bết/rít, tvia êm da.","Personally, I have sensitive combination skin and oily skin, so I don't like this type as much as the scented type. Probably depends on skin condition. But in general, this toner is benign, not sticky/squeaky, and feels smooth on the skin."
67,65994,Cũng đc,cũng đc,cũng được,that's OK
68,65994,"rất là oki nháaa ❤️ mình dùng em này trong routine dùng bha, chân ái đây ròi","rất là oki nháaa ❤️ mình dùng em này trong routine dùng bha, chân ái đây ròi","rất là oki nháaa ❤️ mình dùng em này trong routine dùng bha, chân ái đây ròi","It's very good ❤️ I use this product in my routine bha, I really love it"
69,65994,"mình da khô siêu nhạy cảm, còn anh mình da hỗn hợp thiên khô đang treatment đều sd sản phẩm này thì chỉ biết lên đây cho 5 sao mới thỏa thôi ạ :"")))) hihi","mình da khô siêu nhạy cảm, còn anh mình da hỗn hợp thiên khô đang treatment đều sd sản phẩm này thì chỉ biết lên đây cho 5 sao mới thỏa thôi ạ :"")))) hihi","mình da khô siêu nhạy cảm, còn anh mình da hỗn hợp thiên khô đang treatment đều sử dụng sản phẩm này thì chỉ biết lên đây cho 5 sao mới thỏa thôi ạ :"")))) hihi","I have super sensitive dry skin, and my brother has dry combination skin and is currently using this product, so I can only give 5 stars here :)))) hihi"
70,65994,Tốt,tốt,tốt,Good
71,65994,Dùng rất thích luôn ạ. Da mền mại và căng bóng hơn,dùng rất thích luôn ạ. da mền mại và căng bóng hơn,dùng rất thích luôn ạ. da mền mại và căng bóng hơn,I really enjoy using it. skin is softer and more radiant
72,65994,Sản phẩm này qá ok . Nên mua ạ sử dụng thích lắm,sản phẩm này qá ok . nên mua ạ sử dụng thích lắm,sản phẩm này qá ok . nên mua ạ sử dụng thích lắm,This product is ok. Should buy it. I like it very much
73,65994,Sảm phảm dùng thơm mùi dễ chịu,sảm phảm dùng thơm mùi dễ chịu,sảm phảm dùng thơm mùi dễ chịu,The product has a pleasant fragrance
74,65994,Mình mới đặt hàng lúc sáng. Nhưng lúc giao lại khong có combo tặng 2 bông tẩy trang vậy ạ?,mình mới đặt hàng lúc sáng. nhưng lúc giao lại khong có combo tặng 2 bông tẩy trang vậy ạ?,mình mới đặt hàng lúc sáng. nhưng lúc giao lại khong có combo tặng 2 bông tẩy trang vậy ạ?,"I just placed an order this morning. But when it was delivered, there was no combo of 2 makeup remover cotton pads, right?"
